 nyear            rain             par            srad              vd           esoil            etmt            etmg            assg             rlg             rrg           cpccg             tcg            etmt            asst             rlt             rrt           cpcct             tct
  1980    0.169200E+04    0.146220E+05    0.702848E+04    0.111147E-01    0.223395E+03    0.869712E+03    0.439368E+03    0.772653E+02    0.372757E+02    0.356062E+01    0.261691E+01    0.668711E+01    0.430345E+03    0.759614E+02    0.366583E+02    0.224370E+01    0.261785E+02    0.576000E+01
  1981    0.174060E+04    0.144814E+05    0.696087E+04    0.549273E-02    0.182019E+03    0.103151E+04    0.583523E+03    0.102874E+03    0.503297E+02    0.106362E+02    0.335587E+01    0.857541E+01    0.447988E+03    0.761845E+02    0.368179E+02    0.152974E+01    0.261070E+02    0.574427E+01
  1982    0.132430E+04    0.152300E+05    0.732069E+04    0.408037E-02    0.160752E+03    0.882504E+03    0.431212E+03    0.741913E+02    0.382602E+02    0.417392E+01    0.252044E+01    0.644059E+01    0.451292E+03    0.766321E+02    0.377339E+02    0.145597E+01    0.261070E+02    0.574427E+01
  1983    0.164370E+04    0.152657E+05    0.733787E+04    0.293051E-02    0.202980E+03    0.118196E+04    0.654174E+03    0.107094E+03    0.488038E+02    0.166027E+01    0.311841E+01    0.796863E+01    0.527784E+03    0.875433E+02    0.415242E+02    0.161177E+01    0.261070E+02    0.574427E+01
  1984    0.191160E+04    0.144489E+05    0.694527E+04    0.218204E-02    0.170854E+03    0.890517E+03    0.444052E+03    0.807316E+02    0.386796E+02    0.423349E+01    0.291168E+01    0.744035E+01    0.446465E+03    0.773099E+02    0.380477E+02    0.117043E+01    0.261785E+02    0.576000E+01
  1985    0.136890E+04    0.155044E+05    0.745261E+04    0.190410E-02    0.186969E+03    0.100837E+04    0.534211E+03    0.913669E+02    0.427959E+02    0.222633E+01    0.287707E+01    0.735191E+01    0.474162E+03    0.846781E+02    0.407002E+02    0.134510E+01    0.261070E+02    0.574427E+01
  1986    0.165680E+04    0.146890E+05    0.706065E+04    0.153544E-02    0.191162E+03    0.109371E+04    0.585979E+03    0.104623E+03    0.497194E+02    0.292147E+02    0.332212E+01    0.848918E+01    0.507732E+03    0.842410E+02    0.415270E+02    0.129195E+01    0.261070E+02    0.574427E+01
  1987    0.159300E+04    0.146677E+05    0.705042E+04    0.144458E-02    0.172883E+03    0.824520E+03    0.416252E+03    0.782574E+02    0.407140E+02    0.567285E+01    0.279023E+01    0.713002E+01    0.408268E+03    0.725589E+02    0.362634E+02    0.185867E+01    0.261070E+02    0.574427E+01
  1988    0.167400E+04    0.145471E+05    0.699244E+04    0.120373E-02    0.194196E+03    0.107004E+04    0.565974E+03    0.102468E+03    0.463166E+02    0.195566E+01    0.332382E+01    0.849353E+01    0.504065E+03    0.833772E+02    0.401521E+02    0.131510E+01    0.261785E+02    0.576000E+01
  1989    0.134340E+04    0.146789E+05    0.705580E+04    0.112356E-02    0.173245E+03    0.974386E+03    0.479775E+03    0.859114E+02    0.428074E+02    0.201346E+01    0.286408E+01    0.731873E+01    0.494610E+03    0.813413E+02    0.400274E+02    0.112698E+01    0.261070E+02    0.574427E+01
  1990    0.146820E+04    0.152307E+05    0.732105E+04    0.104925E-02    0.211103E+03    0.978986E+03    0.498353E+03    0.880418E+02    0.397455E+02    0.211480E+01    0.281482E+01    0.719285E+01    0.480634E+03    0.815427E+02    0.394526E+02    0.164902E+01    0.261070E+02    0.574427E+01
  1991    0.180790E+04    0.147238E+05    0.707737E+04    0.892587E-03    0.176754E+03    0.794545E+03    0.332326E+03    0.657952E+02    0.287587E+02    0.209733E+01    0.245244E+01    0.626683E+01    0.462219E+03    0.802248E+02    0.390133E+02    0.148107E+01    0.261070E+02    0.574427E+01
  1992    0.138170E+04    0.150026E+05    0.721139E+04    0.830983E-03    0.183482E+03    0.101005E+04    0.495655E+03    0.938604E+02    0.357617E+02    0.441527E+01    0.330768E+01    0.845227E+01    0.514400E+03    0.864882E+02    0.427830E+02    0.126278E+01    0.261785E+02    0.576000E+01
  1993    0.159780E+04    0.149211E+05    0.717223E+04    0.787685E-03    0.148192E+03    0.917382E+03    0.487087E+03    0.927851E+02    0.471392E+02    0.155431E+02    0.304285E+01    0.777553E+01    0.430295E+03    0.775762E+02    0.385778E+02    0.155164E+01    0.261070E+02    0.574427E+01
  1994    0.138710E+04    0.153164E+05    0.736225E+04    0.726327E-03    0.163198E+03    0.948920E+03    0.485833E+03    0.860310E+02    0.438184E+02    0.332888E+01    0.268912E+01    0.687165E+01    0.463087E+03    0.831429E+02    0.401773E+02    0.156486E+01    0.261070E+02    0.574427E+01
  1995    0.224860E+04    0.139493E+05    0.670511E+04    0.620772E-03    0.171669E+03    0.927903E+03    0.482665E+03    0.940614E+02    0.457461E+02    0.240945E+01    0.308900E+01    0.789346E+01    0.445239E+03    0.807590E+02    0.397375E+02    0.140767E+01    0.261070E+02    0.574427E+01
  1996    0.168710E+04    0.145254E+05    0.698202E+04    0.626224E-03    0.178332E+03    0.954393E+03    0.491099E+03    0.901448E+02    0.468291E+02    0.376990E+01    0.301077E+01    0.769357E+01    0.463294E+03    0.832537E+02    0.405060E+02    0.118160E+01    0.261785E+02    0.576000E+01
  1997    0.249200E+04    0.149375E+05    0.718009E+04    0.621530E-03    0.174296E+03    0.882413E+03    0.423565E+03    0.839072E+02    0.376650E+02    0.556174E+01    0.272718E+01    0.696890E+01    0.458848E+03    0.815779E+02    0.392331E+02    0.151112E+01    0.261070E+02    0.574427E+01
  1998    0.231700E+04    0.149877E+05    0.720422E+04    0.643456E-03    0.185273E+03    0.105754E+04    0.562600E+03    0.992199E+02    0.474526E+02    0.241307E+01    0.287702E+01    0.735180E+01    0.494940E+03    0.814321E+02    0.396249E+02    0.176974E+01    0.261070E+02    0.574427E+01
  1999    0.212080E+04    0.148133E+05    0.712043E+04    0.587248E-03    0.208370E+03    0.101220E+04    0.480526E+03    0.878401E+02    0.399839E+02    0.159913E+01    0.267711E+01    0.684096E+01    0.531671E+03    0.887032E+02    0.421823E+02    0.144925E+01    0.261070E+02    0.574427E+01
  2000    0.208930E+04    0.142187E+05    0.683461E+04    0.539723E-03    0.180453E+03    0.101713E+04    0.527196E+03    0.984673E+02    0.445067E+02    0.322644E+01    0.324598E+01    0.829461E+01    0.489935E+03    0.838561E+02    0.398877E+02    0.114694E+01    0.261785E+02    0.576000E+01
  2001    0.161840E+04    0.142664E+05    0.685751E+04    0.544335E-03    0.171962E+03    0.104996E+04    0.575381E+03    0.102805E+03    0.501863E+02    0.795031E+01    0.331741E+01    0.847714E+01    0.474576E+03    0.812922E+02    0.392457E+02    0.126927E+01    0.261070E+02    0.574427E+01
  2002    0.131020E+04    0.153884E+05    0.739685E+04    0.553672E-03    0.195398E+03    0.913106E+03    0.471940E+03    0.807284E+02    0.397940E+02    0.160885E+01    0.247381E+01    0.632146E+01    0.441167E+03    0.795400E+02    0.388205E+02    0.186225E+01    0.261070E+02    0.574427E+01
  2003    0.229990E+04    0.148895E+05    0.715704E+04    0.539111E-03    0.153512E+03    0.893016E+03    0.456964E+03    0.836270E+02    0.394390E+02    0.113932E+02    0.287623E+01    0.734978E+01    0.436052E+03    0.762845E+02    0.379187E+02    0.214564E+01    0.261070E+02    0.574427E+01
  2004    0.167840E+04    0.150896E+05    0.725322E+04    0.474449E-03    0.170521E+03    0.100777E+04    0.544163E+03    0.104134E+03    0.518846E+02    0.109066E+02    0.344678E+01    0.880773E+01    0.463611E+03    0.792506E+02    0.393667E+02    0.203613E+01    0.261785E+02    0.576000E+01
  2005    0.132780E+04    0.154294E+05    0.741657E+04    0.497348E-03    0.216982E+03    0.968297E+03    0.501136E+03    0.865185E+02    0.403839E+02    0.147862E+01    0.249807E+01    0.638343E+01    0.467161E+03    0.832754E+02    0.400748E+02    0.198848E+01    0.261070E+02    0.574427E+01
  2006    0.186860E+04    0.151029E+05    0.725961E+04    0.466470E-03    0.180555E+03    0.980838E+03    0.452931E+03    0.858972E+02    0.396900E+02    0.258016E+01    0.281338E+01    0.718916E+01    0.527908E+03    0.895937E+02    0.423241E+02    0.129181E+01    0.261070E+02    0.574427E+01
  2007    0.206840E+04    0.146290E+05    0.703184E+04    0.419407E-03    0.150148E+03    0.898889E+03    0.470524E+03    0.913245E+02    0.407262E+02    0.442591E+01    0.301812E+01    0.771236E+01    0.428365E+03    0.791155E+02    0.395187E+02    0.139652E+01    0.261070E+02    0.574427E+01
  2008    0.165840E+04    0.148190E+05    0.712314E+04    0.446593E-03    0.177585E+03    0.851136E+03    0.384872E+03    0.718218E+02    0.338025E+02    0.141484E+01    0.247328E+01    0.632009E+01    0.466264E+03    0.822649E+02    0.390183E+02    0.147768E+01    0.261785E+02    0.576000E+01
  2009    0.160950E+04    0.150672E+05    0.724246E+04    0.430287E-03    0.179825E+03    0.868677E+03    0.408367E+03    0.765977E+02    0.306212E+02    0.415388E+01    0.251028E+01    0.641465E+01    0.460310E+03    0.800521E+02    0.391870E+02    0.154320E+01    0.261070E+02    0.574427E+01
  2010    0.198660E+04    0.146643E+05    0.704879E+04    0.397884E-03    0.199543E+03    0.120399E+04    0.658883E+03    0.116732E+03    0.548235E+02    0.309476E+01    0.338882E+01    0.865962E+01    0.545109E+03    0.878701E+02    0.429935E+02    0.133780E+01    0.261070E+02    0.574427E+01
  2011    0.231900E+04    0.144396E+05    0.694080E+04    0.362004E-03    0.193863E+03    0.958750E+03    0.467702E+03    0.880845E+02    0.408575E+02    0.231029E+01    0.287838E+01    0.735526E+01    0.491048E+03    0.880553E+02    0.418293E+02    0.111249E+01    0.261070E+02    0.574427E+01
  2012    0.152420E+04    0.154613E+05    0.743190E+04    0.391217E-03    0.185985E+03    0.954499E+03    0.477209E+03    0.915593E+02    0.402754E+02    0.191399E+01    0.289012E+01    0.738525E+01    0.477291E+03    0.847638E+02    0.424019E+02    0.150029E+01    0.261785E+02    0.576000E+01
  2013    0.179440E+04    0.155260E+05    0.746297E+04    0.364061E-03    0.191986E+03    0.106885E+04    0.591449E+03    0.108048E+03    0.497012E+02    0.434485E+01    0.322341E+01    0.823695E+01    0.477405E+03    0.870630E+02    0.427477E+02    0.159542E+01    0.261070E+02    0.574427E+01
  2014    0.170810E+04    0.159754E+05    0.767899E+04    0.378552E-03    0.192687E+03    0.974228E+03    0.498762E+03    0.914103E+02    0.454290E+02    0.203777E+01    0.261921E+01    0.669300E+01    0.475466E+03    0.847309E+02    0.411812E+02    0.176775E+01    0.261070E+02    0.574427E+01
  2015    0.178030E+04    0.157892E+05    0.758950E+04    0.372808E-03    0.179933E+03    0.913816E+03    0.450158E+03    0.840599E+02    0.341747E+02    0.668492E+01    0.263528E+01    0.673406E+01    0.463658E+03    0.818935E+02    0.404268E+02    0.228864E+01    0.261070E+02    0.574427E+01
  2016    0.120250E+04    0.153258E+05    0.736675E+04    0.343725E-03    0.191297E+03    0.113967E+04    0.651723E+03    0.117807E+03    0.546857E+02    0.444449E+01    0.321674E+01    0.821989E+01    0.487943E+03    0.856052E+02    0.405767E+02    0.205261E+01    0.254633E+02    0.560263E+01
